word,first,last,len,prefix,cls,suffix
abalienate,a,e,10,l,ie,n
abalienated,a,d,11,l,ie,n
abalienating,a,g,12,l,ie,n
abalienation,a,n,12,l,ie,n
abbacies,a,s,8,c,ie,s
abbatie,a,e,7,t,ie,
abbie,a,e,5,b,ie,
abbotcies,a,s,9,c,ie,s
abdiel,a,l,6,d,ie,l
abecedaries,a,s,11,r,ie,s
abeyancies,a,s,10,c,ie,s
abeigh,a,h,6,b,ei,g
aberrancies,a,s,11,c,ie,s
abhenries,a,s,9,r,ie,s
abie,a,e,4,b,ie,
abiegh,a,h,6,b,ie,g
abience,a,e,7,b,ie,n
abient,a,t,6,b,ie,n
abies,a,s,5,b,ie,s
abietate,a,e,8,b,ie,t
abietene,a,e,8,b,ie,t
abietic,a,c,7,b,ie,t
abietin,a,n,7,b,ie,t
abietineae,a,e,10,b,ie,t
abietineous,a,s,11,b,ie,t
abietinic,a,c,9,b,ie,t
abietite,a,e,8,b,ie,t
abiezer,a,r,7,b,ie,z
abigei,a,i,6,g,ei,
abilities,a,s,9,t,ie,s
abmodalities,a,s,12,t,ie,s
abnormalcies,a,s,12,c,ie,s
abnormalities,a,s,13,t,ie,s
abnormities,a,s,11,t,ie,s
abortient,a,t,9,t,ie,n
abortifacient,a,t,13,c,ie,n
abreid,a,d,6,r,ei,d
abseil,a,l,6,s,ei,l
abseiled,a,d,8,s,ei,l
abseiling,a,g,9,s,ei,l
abseils,a,s,7,s,ei,l
absenteeism,a,m,11,e,ei,s
absorbefacient,a,t,14,c,ie,n
absorbencies,a,s,12,c,ie,s
abstrusities,a,s,12,t,ie,s
absurdities,a,s,11,t,ie,s
abthainrie,a,e,10,r,ie,
abuleia,a,a,7,l,ei,a
abulyeit,a,t,8,y,ei,t
academie,a,e,8,m,ie,
academies,a,s,9,m,ie,s
acadie,a,e,6,d,ie,
acanthodei,a,i,10,d,ei,
acceptancies,a,s,12,c,ie,s
accessaries,a,s,11,r,ie,s
accessories,a,s,11,r,ie,s
accidencies,a,s,11,c,ie,s
accidie,a,e,7,d,ie,
accidies,a,s,8,d,ie,s
accipient,a,t,9,p,ie,n
acclivities,a,s,11,t,ie,s
accompanied,a,d,11,n,ie,d
accompanier,a,r,11,n,ie,r
accompanies,a,s,11,n,ie,s
accueil,a,l,7,u,ei,l
accuracies,a,s,10,c,ie,s
aceite,a,e,6,c,ei,t
aceituna,a,a,8,c,ei,t
acerbities,a,s,10,t,ie,s
acetified,a,d,9,f,ie,d
acetifier,a,r,9,f,ie,r
acetifies,a,s,9,f,ie,s
acetylenediurein,a,n,16,r,ei,n
acetyltropeine,a,e,14,p,ei,n
acetothienone,a,e,13,h,ie,n
acheilary,a,y,9,h,ei,l
acheilia,a,a,8,h,ei,l
acheilous,a,s,9,h,ei,l
acheiria,a,a,8,h,ei,r
acheirous,a,s,9,h,ei,r
acheirus,a,s,8,h,ei,r
achier,a,r,6,h,ie,r
achiest,a,t,7,h,ie,s
achievability,a,y,13,h,ie,v
achievable,a,e,10,h,ie,v
achieve,a,e,7,h,ie,v
achieved,a,d,8,h,ie,v
achievement,a,t,11,h,ie,v
achievements,a,s,12,h,ie,v
achiever,a,r,8,h,ie,v
achievers,a,s,9,h,ie,v
achieves,a,s,8,h,ie,v
achieving,a,g,9,h,ie,v
achilleid,a,d,9,l,ei,d
achillein,a,n,9,l,ei,n
achilleine,a,e,10,l,ei,n
achromobacterieae,a,e,17,r,ie,a
acidified,a,d,9,f,ie,d
acidifier,a,r,9,f,ie,r
acidifiers,a,s,10,f,ie,r
acidifies,a,s,9,f,ie,s
acidities,a,s,9,t,ie,s
acier,a,r,5,c,ie,r
acierage,a,e,8,c,ie,r
acieral,a,l,7,c,ie,r
acierate,a,e,8,c,ie,r
acierated,a,d,9,c,ie,r
acierates,a,s,9,c,ie,r
acierating,a,g,10,c,ie,r
acieration,a,n,10,c,ie,r
acies,a,s,5,c,ie,s
acipenseroidei,a,i,14,d,ei,
acleidian,a,n,9,l,ei,d
acleistocardia,a,a,14,l,ei,s
acleistous,a,s,10,l,ei,s
acmaeidae,a,e,9,a,ei,d
acneiform,a,m,9,n,ei,f
acquiesce,a,e,9,u,ie,s
acquiesced,a,d,10,u,ie,s
acquiescement,a,t,13,u,ie,s
acquiescence,a,e,12,u,ie,s
acquiescency,a,y,12,u,ie,s
acquiescent,a,t,11,u,ie,s
acquiescently,a,y,13,u,ie,s
acquiescer,a,r,10,u,ie,s
acquiesces,a,s,10,u,ie,s
acquiescing,a,g,11,u,ie,s
acquiescingly,a,y,13,u,ie,s
acquiesence,a,e,11,u,ie,s
acquiet,a,t,7,u,ie,t
acraein,a,n,7,a,ei,n
acraeinae,a,e,9,a,ei,n
acrasieae,a,e,9,s,ie,a
acridities,a,s,10,t,ie,s
acrimonies,a,s,10,n,ie,s
acrobacies,a,s,10,c,ie,s
acrolein,a,n,8,l,ei,n
acroleins,a,s,9,l,ei,n
acrologies,a,s,10,g,ie,s
acromegalies,a,s,12,l,ie,s
acrophonies,a,s,11,n,ie,s
acropoleis,a,s,10,l,ei,s
actifier,a,r,8,f,ie,r
actinodielectric,a,c,16,d,ie,l
activities,a,s,10,t,ie,s
actualities,a,s,11,t,ie,s
actuaries,a,s,9,r,ie,s
acturience,a,e,10,r,ie,n
acuities,a,s,8,t,ie,s
aculei,a,i,6,l,ei,
aculeiform,a,m,10,l,ei,f
adagietto,a,o,9,g,ie,t
adagiettos,a,s,10,g,ie,t
adamancies,a,s,10,c,ie,s
addie,a,e,5,d,ie,
adeleidae,a,e,9,l,ei,d
adenectomies,a,s,12,m,ie,s
adenoidectomies,a,s,15,m,ie,s
adequacies,a,s,10,c,ie,s
adiel,a,l,5,d,ie,l
adience,a,e,7,d,ie,n
adient,a,t,6,d,ie,n
adieu,a,u,5,d,ie,u
adieus,a,s,6,d,ie,u
adieux,a,x,6,d,ie,u
adigei,a,i,6,g,ei,
adiposities,a,s,11,t,ie,s
adjacencies,a,s,11,c,ie,s
adjutancies,a,s,11,c,ie,s
admiralties,a,s,11,t,ie,s
adoptabilities,a,s,14,t,ie,s
adoulie,a,e,7,l,ie,
adoxies,a,s,7,x,ie,s
adrenalectomies,a,s,15,m,ie,s
